T(K)	T(°C)	p(Pa)
700.0	426.9	2.48e-47
705.0	431.9	6.51e-47
710.0	436.9	1.69e-46
715.0	441.9	4.32e-46
720.0	446.9	1.09e-45
725.0	451.9	2.72e-45
730.0	456.9	6.71e-45
735.0	461.9	1.63e-44
740.0	466.9	3.92e-44
745.0	471.9	9.32e-44
750.0	476.9	2.19e-43
755.0	481.9	5.08e-43
760.0	486.9	1.17e-42
765.0	491.9	2.65e-42
770.0	496.9	5.96e-42
775.0	501.9	1.33e-41
780.0	506.9	2.92e-41
785.0	511.9	6.36e-41
790.0	516.9	1.37e-40
795.0	521.9	2.94e-40
800.0	526.9	6.22e-40
805.0	531.9	1.30e-39
810.0	536.9	2.71e-39
815.0	541.9	5.58e-39
820.0	546.9	1.14e-38
825.0	551.9	2.31e-38
830.0	556.9	4.63e-38
835.0	561.9	9.22e-38
840.0	566.9	1.82e-37
845.0	571.9	3.57e-37
850.0	576.9	6.93e-37
855.0	581.9	1.34e-36
860.0	586.9	2.56e-36
865.0	591.9	4.85e-36
870.0	596.9	9.15e-36
875.0	601.9	1.71e-35
880.0	606.9	3.18e-35
885.0	611.9	5.87e-35
890.0	616.9	1.08e-34
895.0	621.9	1.96e-34
900.0	626.9	3.54e-34
905.0	631.9	6.36e-34
910.0	636.9	1.13e-33
915.0	641.9	2.01e-33
920.0	646.9	3.55e-33
925.0	651.9	6.21e-33
930.0	656.9	1.08e-32
935.0	661.9	1.87e-32
940.0	666.9	3.22e-32
945.0	671.9	5.51e-32
950.0	676.9	9.38e-32
955.0	681.9	1.59e-31
960.0	686.9	2.67e-31
965.0	691.9	4.47e-31
970.0	696.9	7.44e-31
975.0	701.9	1.23e-30
980.0	706.9	2.03e-30
985.0	711.9	3.33e-30
990.0	716.9	5.43e-30
995.0	721.9	8.81e-30
1000	726.9	1.42e-29
1005	731.9	2.29e-29
1010	736.9	3.66e-29
1015	741.9	5.83e-29
1020	746.9	9.24e-29
1025	751.9	1.46e-28
1030	756.9	2.29e-28
1035	761.9	3.59e-28
1040	766.9	5.59e-28
1045	771.9	8.66e-28
1050	776.9	1.34e-27
1055	781.9	2.06e-27
1060	786.9	3.15e-27
1065	791.9	4.81e-27
1070	796.9	7.32e-27
1075	801.9	1.11e-26
1080	806.9	1.67e-26
1085	811.9	2.51e-26
1090	816.9	3.76e-26
1095	821.9	5.60e-26
1100	826.9	8.33e-26
1105	831.9	1.23e-25
1110	836.9	1.82e-25
1115	841.9	2.67e-25
1120	846.9	3.92e-25
1125	851.9	5.72e-25
1130	856.9	8.33e-25
1135	861.9	1.21e-24
1140	866.9	1.75e-24
1145	871.9	2.52e-24
1150	876.9	3.62e-24
1155	881.9	5.18e-24
1160	886.9	7.40e-24
1165	891.9	1.05e-23
1170	896.9	1.49e-23
1175	901.9	2.11e-23
1180	906.9	2.98e-23
1185	911.9	4.19e-23
1190	916.9	5.88e-23
1195	921.9	8.23e-23
1200	926.9	1.15e-22
1205	931.9	1.60e-22
1210	936.9	2.21e-22
1215	941.9	3.06e-22
1220	946.9	4.23e-22
1225	951.9	5.81e-22
1230	956.9	7.98e-22
1235	961.9	1.09e-21
1240	966.9	1.49e-21
1245	971.9	2.03e-21
1250	976.9	2.76e-21
1255	981.9	3.74e-21
1260	986.9	5.06e-21
