Ta Specific Heat Capacity Data, From: https://iopscience.iop.org/article/10.1088/1742-6596/653/1/012100/pdf
Cp (J/kg K)	Temp (K)
139.830320200491	298.15
139.896637639524	300
143.267774123687	400
146.373640851719	500
149.181079104104	600
151.695615334095	700
153.900670181933	800
155.801770100871	900
157.415494450667	1000
158.75842259108	1100
159.85266033512	1200
160.742419308809	1300
161.460858231663	1400
162.06324163621	1500
162.599307601725	1600
163.146426473745	1700
163.76538923805	1800
164.539092693432	1900
165.555960091934	2000
166.915467592104	2100
168.711564899241	2200
171.065833984902	2300
174.088803914144	2400
177.902056658525	2500
182.649280002617	2600
188.468635277739	2700
195.50381026846	2800
203.91507211911	2900
213.862687974018	3000
225.523504337271	3100
239.074367712957	3200
253.53156942209	3293
233.116851106517	3294
233.116851106517	3300
233.116851106517	3400
233.116851106517	3500
233.116851106517	3600
233.116851106517	3700
233.116851106517	3800
233.116851106517	3900
233.116851106517	4000
233.116851106517	4100
233.116851106517	4200
233.116851106517	4300
233.116851106517	4400
233.116851106517	4500
233.116851106517	4600
233.116851106517	4700
233.116851106517	4800
233.116851106517	4900
233.116851106517	5000
233.116851106517	5100
233.116851106517	5200
233.116851106517	5300
233.116851106517	5400
233.116851106517	5500
233.116851106517	5600
233.116851106517	5700
233.116851106517	5800
